vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 18:00:00 UTC,2016-06-15 18:13:46 UTC,1,0.8,-73.985458374023438,40.746944427490234,1,N,-73.984825134277344,40.753395080566406,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3
2,2016-06-15 18:00:02 UTC,2016-06-15 18:04:44 UTC,1,0.55,-73.9611587524414,40.760841369628906,1,N,-73.9672622680664,40.757045745849609,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8
1,2016-06-15 18:00:03 UTC,2016-06-15 18:08:02 UTC,1,0.6,-73.972358703613281,40.7462158203125,1,N,-73.975776672363281,40.751548767089844,1,6.5,1.0,0.5,1.0,0.0,0.3,9.3
1,2016-06-15 18:00:03 UTC,2016-06-15 18:15:42 UTC,1,1.1,-73.976791381835938,40.751754760742188,1,N,-73.983512878417969,40.7506217956543,1,10.5,1.0,0.5,3.65,0.0,0.3,15.95
2,2016-06-15 18:00:06 UTC,2016-06-15 18:11:41 UTC,1,0.95,-73.986236572265625,40.748931884765625,1,N,-73.9892807006836,40.758518218994141,1,8.5,1.0,0.5,2.58,0.0,0.3,12.88
1,2016-06-15 18:00:08 UTC,2016-06-15 18:13:32 UTC,1,1.6,-73.966880798339844,40.757328033447266,1,N,-73.987190246582031,40.748447418212891,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3
2,2016-06-15 18:00:10 UTC,2016-06-15 18:13:15 UTC,1,0.84,-73.974525451660156,40.750736236572266,1,N,-73.9640121459961,40.754737854003906,1,9.0,1.0,0.5,0.0,0.0,0.3,10.8
1,2016-06-15 18:00:11 UTC,2016-06-15 18:09:20 UTC,1,0.6,-73.975830078125,40.748882293701172,1,N,-73.970329284667969,40.756065368652344,1,7.0,1.0,0.5,3.0,0.0,0.3,11.8
2,2016-06-15 18:00:13 UTC,2016-06-15 18:11:58 UTC,1,1.14,-73.974403381347656,40.757148742675781,1,N,-73.962448120117188,40.762210845947266,1,8.5,1.0,0.5,2.06,0.0,0.3,12.36
2,2016-06-15 18:00:14 UTC,2016-06-15 18:05:14 UTC,1,0.45,-73.974479675292969,40.756496429443359,1,N,-73.97088623046875,40.761615753173828,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8
