vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,p_lon,p_lat,rate_code,store_and_fwd_flag,d_lon,d_lat,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 06:30:00 UTC,2016-06-15 06:38:24 UTC,1,1.7,-73.99402618408203,40.75106430053711,1,N,-73.97337341308595,40.75867080688477,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 06:30:01 UTC,2016-06-15 06:38:59 UTC,1,1.61,-73.99434661865234,40.75069046020508,1,N,-73.9723892211914,40.75379943847656,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 06:30:05 UTC,2016-06-15 06:32:15 UTC,6,0.59,-73.97370910644531,40.753822326660156,1,N,-73.97366333007811,40.748847961425774,1,4.0,0.0,0.5,1.0,0.0,0.3,5.8
2,2016-06-15 06:30:05 UTC,2016-06-15 06:32:51 UTC,1,0.72,-73.9734115600586,40.744239807128906,1,N,-73.9808120727539,40.741172790527344,1,4.5,0.0,0.5,0.7,0.0,0.3,6.0
1,2016-06-15 06:30:10 UTC,2016-06-15 06:37:53 UTC,1,1.1,-73.9923324584961,40.75035858154297,1,N,-73.97547149658203,40.74163818359375,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
1,2016-06-15 06:30:10 UTC,2016-06-15 06:33:37 UTC,1,0.8,-73.97762298583984,40.75215911865234,1,N,-73.97681427001955,40.74425506591797,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35
2,2016-06-15 06:30:12 UTC,2016-06-15 06:34:34 UTC,1,1.35,-73.97531127929686,40.75219345092773,1,N,-73.96168518066406,40.76006317138672,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,2016-06-15 06:30:13 UTC,2016-06-15 06:36:36 UTC,1,1.26,-73.99456787109375,40.75049591064453,1,N,-73.98204803466798,40.7622184753418,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 06:30:15 UTC,2016-06-15 06:34:52 UTC,1,1.2,-73.97659301757811,40.74776840209961,1,N,-73.98056030273438,40.759071350097656,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15
1,2016-06-15 06:30:17 UTC,2016-06-15 06:38:56 UTC,1,1.4,-73.99400329589844,40.75111770629883,1,N,-73.97591400146483,40.75529861450195,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 06:30:18 UTC,2016-06-15 06:36:20 UTC,1,1.22,-73.97611999511719,40.75013732910156,1,N,-73.97866821289062,40.76155853271485,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 06:30:18 UTC,2016-06-15 06:32:18 UTC,1,0.8,-73.98546600341797,40.74460983276367,1,N,-73.977783203125,40.75498962402344,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-06-15 06:30:19 UTC,2016-06-15 06:36:04 UTC,6,1.38,-73.97968292236328,40.754638671875,1,N,-73.97591400146483,40.74152755737305,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
1,2016-06-15 06:30:19 UTC,2016-06-15 06:34:40 UTC,1,1.1,-73.96984100341797,40.75334167480469,1,N,-73.9872817993164,40.76072692871094,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
1,2016-06-15 06:30:22 UTC,2016-06-15 06:33:15 UTC,2,1.2,-73.98565673828125,40.74421310424805,1,N,-73.9740982055664,40.75902938842773,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
2,2016-06-15 06:30:24 UTC,2016-06-15 06:33:27 UTC,1,0.94,-73.98768615722656,40.74987030029297,1,N,-73.9775619506836,40.75575637817383,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
1,2016-06-15 06:30:26 UTC,2016-06-15 06:32:08 UTC,1,0.5,-73.98200225830078,40.747467041015625,1,N,-73.98680877685547,40.740394592285156,1,4.0,0.0,0.5,0.6,0.0,0.3,5.4
2,2016-06-15 06:30:28 UTC,2016-06-15 06:37:02 UTC,2,1.32,-73.99037170410156,40.74832153320313,1,N,-73.98013305664062,40.760269165039055,1,6.5,0.0,0.5,1.82,0.0,0.3,9.12
2,2016-06-15 06:30:34 UTC,2016-06-15 06:38:47 UTC,1,1.69,-73.96311950683594,40.75678634643555,1,N,-73.98519134521484,40.75299835205078,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 06:30:35 UTC,2016-06-15 06:33:23 UTC,1,0.78,-73.99079132080078,40.75608825683594,1,N,-73.98133850097656,40.76179122924805,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-06-15 06:30:39 UTC,2016-06-15 06:34:59 UTC,1,0.76,-73.9898910522461,40.757118225097656,1,N,-73.98046112060547,40.75988006591797,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1,2016-06-15 06:30:42 UTC,2016-06-15 06:38:44 UTC,1,1.8,-73.9840087890625,40.7409782409668,1,N,-73.98567962646483,40.76012420654297,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
2,2016-06-15 06:30:44 UTC,2016-06-15 06:35:07 UTC,2,0.94,-73.99169921875,40.74943542480469,1,N,-73.98838806152342,40.741153717041016,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,2016-06-15 06:30:47 UTC,2016-06-15 06:43:31 UTC,1,2.1,-73.96663665771484,40.757484436035156,1,N,-73.9912109375,40.75024032592773,1,10.0,0.0,0.5,1.5,0.0,0.3,12.3
1,2016-06-15 06:30:48 UTC,2016-06-15 06:39:27 UTC,1,1.7,-73.99436950683594,40.75116729736328,1,N,-73.97358703613281,40.75851440429688,1,8.0,0.0,0.5,2.0,0.0,0.3,10.8
